title,guid,URL,price,images_link,configurate,engine,transmission,probeg,issue,taxt
"Genesis G70, 2020",1997416,https://carskorea.shop///car/view/1997416,b'3\xc2\xa0191\xc2\xa0128',"https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_019.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_020.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_021.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_022.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_023.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297526_024.jpg?",2.0T AWD,Бензин,АКПП,36 178,Январь 2020,Genesis>G70>2.0T AWD
"Hyundai Avante (CN7), 2020",1997414,https://carskorea.shop///car/view/1997414,b'2\xc2\xa0139\xc2\xa0822',"https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_002.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_009.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_015.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_016.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_017.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_018.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_019.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_020.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_021.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_022.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_023.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300990_024.jpg?",1.6,Бензин,АКПП,41 793,Июль 2020,Hyundai>Avante (CN7)>1.6
"Hyundai Sonata (DN8), 2019",1997412,https://carskorea.shop///car/view/1997412,b'2\xc2\xa0661\xc2\xa0656',"https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_019.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_020.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_021.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_022.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_023.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38296397_024.jpg?",2.0 LPG (for car rental),Газ,АКПП,48 174,Октябрь 2019,Hyundai>Sonata (DN8)>2.0 LPG (for car rental)
"Kia Sportage 5th Generation, 2021",1997411,https://carskorea.shop///car/view/1997411,b'3\xc2\xa0229\xc2\xa0374',"https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_002.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_009.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_015.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_016.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_017.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_018.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_019.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_020.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_021.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_022.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_023.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302400_024.jpg?",Gasoline 1.6 Turbo 2WD,Бензин,АКПП,53 728,Июль 2021,Kia>Sportage 5th Generation>Gasoline 1.6 Turbo 2WD
"Ssangyong The New Rexton Sports Cannes, 2023",1997406,https://carskorea.shop///car/view/1997406,b'4\xc2\xa0306\xc2\xa0574',"https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_002.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_009.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_015.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_016.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_017.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_018.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_019.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_020.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_021.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_022.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_023.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300596_024.jpg?",Diesel 2.2 4WD,Дизель,АКПП,9 609,Апрель 2023,Ssangyong>The New Rexton Sports Cannes>Diesel 2.2 4WD
"Chevrolet (GM Daewoo) The New Malibu, 2019",1997405,https://carskorea.shop///car/view/1997405,b'1\xc2\xa0889\xc2\xa0820',"https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_001.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_002.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_003.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_004.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_005.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_006.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_007.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_008.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_009.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_010.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_015.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_016.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_017.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_018.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_019.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_020.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_021.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_022.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_023.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289505_024.jpg?",1.3 Turbo Premier,Бензин,АКПП,77 061,Октябрь 2019,Chevrolet (GM Daewoo)>(GM Daewoo) The New Malibu>1.3 Turbo Premier
"Hyundai Palisade, 2019",1997404,https://carskorea.shop///car/view/1997404,b'7\xc2\xa0183\xc2\xa0865',"https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_019.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_020.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_021.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_022.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_023.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292279_024.jpg?",Gasoline 3.8 4WD,Бензин,АКПП,69 890,Декабрь 2019,Hyundai>Palisade>Gasoline 3.8 4WD
"Hyundai Casper, 2021",1997402,https://carskorea.shop///car/view/1997402,b'2\xc2\xa0035\xc2\xa0723',"https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_019.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_020.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_021.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_022.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_023.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38291372_024.jpg?",Turbo Inspiration,Бензин,АКПП,84 507,Декабрь 2021,Hyundai>Casper>Turbo Inspiration
"Hyundai The New Santa Fe, 2024",1997400,https://carskorea.shop///car/view/1997400,b'4\xc2\xa0518\xc2\xa0460',"https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_002.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_009.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_015.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_016.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_017.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_018.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_019.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_020.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_021.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_022.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302153_023.jpg?",Gasoline 2.5 T 2WD,Бензин,АКПП,6 386,Февраль 2024,Hyundai>The New Santa Fe>Gasoline 2.5 T 2WD
"Kia Sportage The Bold, 2020",1997399,https://carskorea.shop///car/view/1997399,b'2\xc2\xa0133\xc2\xa0343',"https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_019.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_020.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_021.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_022.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_023.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290464_024.jpg?",Diesel 2.0 2WD,Дизель,АКПП,134 253,Октябрь 2020,Kia>Sportage The Bold>Diesel 2.0 2WD
"Kia Sorento 4th Generation, 2021",1997392,https://carskorea.shop///car/view/1997392,b'3\xc2\xa0304\xc2\xa0001',"https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_001.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_002.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_003.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_004.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_005.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_006.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_007.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_008.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_009.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_010.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_015.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_016.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_017.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_018.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_019.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_020.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_021.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_022.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_023.jpg?,https://ci.encar.com/carpicture/carpicture08/pic3828/38289543_024.jpg?",HEV 1.6 2WD,Бензин + Электричество,АКПП,53 251,Июнь 2021,Kia>Sorento 4th Generation>HEV 1.6 2WD
"Hyundai Avante (CN7), 2020",1997387,https://carskorea.shop///car/view/1997387,b'2\xc2\xa0356\xc2\xa0240',"https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_002.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_009.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_015.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_016.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_017.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_018.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_019.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_020.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_021.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_022.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_023.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302512_024.jpg?",1.6,Бензин,АКПП,24 517,Октябрь 2020,Hyundai>Avante (CN7)>1.6
"Kia Sorento 4th Generation, 2020",1997382,https://carskorea.shop///car/view/1997382,b'3\xc2\xa0408\xc2\xa0479',"https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_002.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_009.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_015.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_016.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_017.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_018.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_019.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_020.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_021.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_022.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_023.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300214_024.jpg?",HEV 1.6 2WD,Бензин + Электричество,АКПП,110 784,Сентябрь 2020,Kia>Sorento 4th Generation>HEV 1.6 2WD
"Mercedes-Benz CLS-Class C257, 2020",1997380,https://carskorea.shop///car/view/1997380,b'4\xc2\xa0487\xc2\xa0511',"https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_002.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_009.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_015.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_016.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_017.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38302473_018.jpg?",CLS300d AMG Line,Дизель,АКПП,72 721,Апрель 2020,Mercedes-Benz>CLS-Class C257>CLS300d AMG Line
